,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
25,BFA,5,28.8221683957274,21.7,4.4391933316723,3.76648356019455,0.0130840722684739,7.3,774.0,15745810234.0,0.369,12.266667,76.401,12.5,0.0010107505626629,1.85138426614e-05,20903278
26,MMR,2,27.7579550854527,24.2,9.91218927369194,11.8365515835868,0.177554529873627,3.9,1407.0,76085852617.0,0.473,22.0,83.286,20.3,0.0113534522847118,0.0003573621322661,54409794
27,BDI,5,22.5715987715736,22.9,0.0491136789080549,0.0426494386815412,0.265541851287985,5.1,261.0,3012334881.0,0.38,-3.666667,463.037,,0.004195014608376,1.2614814788e-06,11890781
28,CPV,3,24.6296513414883,17.2,9.16428651937332,10.3377434231001,1.06097662027083,2.4,3603.0,1981845740.0,,15.916667,137.962,9.1,0.112135513716123,0.0007374259876112,555988
29,CMR,5,23.0677045164835,21.6,0.796120514161894,0.969475838891204,,6.0,1497.0,38760467033.0,0.394,7.0,56.157,,0.0045827101351833,7.28927112713e-05,26545864
30,CAN,4,2.21418559229209,9.8,2.48914318146675,2.55421555253465,1.99681857080929,7.6,46194.0,1736425629519.0,0.799,56.0,4.15,14.3,0.111220484828146,0.0011749990865651,37742157
31,TCD,5,31.9324235627907,23.9,4.77499082921365,4.63911252149829,,6.0,709.0,11314951342.0,0.293,15.466667,13.045,,0.00046012814307,1.17497660244e-05,16425859
32,CHL,3,15.3239864812183,12.4,1.66470363197938,1.6741206672529,2.75998122298505,8.6,14896.0,282318159744.0,0.674,-33.0,25.71,37.8,0.259957563453244,0.0034609075689813,17574003
33,CHN,5,5.4142583851626,17.0,0.861672789025485,1.02598945852108,,9.2,10261.0,14342902842915.0,0.673,35.844722,153.312,25.6,0.0045168384747322,1.77062315375e-05,1439323774
34,COL,3,20.5815244329268,15.8,2.31806969112464,2.66395154049893,0.962693893817393,7.4,6432.0,323802808108.0,0.593,4.0,45.861,9.0,0.123898578547552,0.0027849836499047,50882884
35,COM,4,27.0351456880081,22.9,14.1498573028712,14.7272221551412,,12.3,1393.0,1185728676.0,0.409,-12.23333,467.273,14.0,0.0097367165174592,0.0001839936982158,869595
36,COG,5,26.063725925813,16.7,4.09904783699204,3.33773320903655,,6.0,2011.0,10820591130.0,0.42,-0.75,16.158,26.9,0.0044897765387021,6.99517151943e-05,5518092
37,COD,5,,19.4,0.604879197613731,0.765327055670096,,6.0,545.0,47319624204.0,0.369,-2.88,39.506,,0.0010356023449565,1.58773750353e-05,89561404
38,CRI,0,26.6145556880081,11.5,10.5492061964768,10.8175706848345,0.885787128732677,9.1,12238.0,61773944173.0,0.619,10.0,99.767,11.9,0.217072487973375,0.0017496663796687,5094114
39,CIV,0,26.5738933669725,29.1,5.31010437349004,1.80649585480644,0.0776413804647646,2.4,2286.0,58792205642.0,0.353,8.0,82.951,,0.0032971450938319,3.11620073715e-05,26378275
40,HRV,1,12.5936521522843,16.7,1.09712416767781,1.10678437724931,1.26425443859342,5.4,14868.0,60917594400.0,0.723,45.25,73.2,37.0,0.299787353363855,0.0041256096908773,4076246
41,CUB,0,26.1328104186992,16.4,1.98849869178916,2.09041140841382,0.996999556625206,9.6,8821.0,100023000000.0,,22.0,106.413,35.2,0.0980829578755032,0.0007530934217245,11326616
42,CYP,2,21.1268650771574,11.3,4.22223010465451,4.29225506697,45.0802527764501,9.0,28674.0,24942615800.0,0.751,35.0,94.4,36.4,0.662061493391361,0.0013391955008511,875899
43,CZE,1,9.54700507106599,15.0,0.970029223542262,1.04437375451608,2.12549745429602,7.0,23010.0,244932977600.0,0.782,49.5,137.7,34.3,0.382017596574584,0.0038434524592011,10649800
44,DNK,4,9.43872828048781,11.3,1.32612669954422,1.30444698287318,13.008016818757,8.3,61360.0,355582262000.0,0.774,56.0,138.0,19.1,0.565563243089444,0.001203393476598,5806081
45,DJI,5,30.5292745802005,19.6,5.31972347818874,5.45537863283678,0.623986591120261,5.1,3408.0,3318716359.0,,11.8,42.623,13.1,0.0158805346547882,0.0001912951593215,988002
46,DOM,5,26.9176475685279,19.0,1.16893783570806,1.36333575277341,0.332982402631952,8.6,8282.0,88941298257.0,0.492,18.8,224.501,13.7,0.059152164325938,0.0004041333699118,10847904
47,ECU,5,16.3373383820225,13.0,1.46247721540783,1.54774840198622,0.199301631372001,5.5,6183.0,107435665000.0,0.602,-1.0,71.038,7.1,0.0566702714835182,0.0020338875455845,17643060
48,EGY,3,24.2701503888325,27.7,4.15697074585188,5.36348078530997,,17.2,3020.0,303175127597.0,0.486,27.0,102.802,25.2,0.0050359213020473,0.000242303656181,102334403
49,SLV,0,26.5996980121951,14.0,3.94855179352536,3.87950428381997,0.452310778829425,8.8,4187.0,27022640000.0,0.501,13.668889,313.041,9.9,0.0311098900573695,0.0006518453560103,6486201
50,EST,1,7.36654371443089,17.0,1.02480865203942,1.04964500098781,2.82602007400138,4.2,23246.0,30722303000.0,0.747,59.0,30.4,31.3,0.452586766504129,0.0020085747497773,1324820
51,SWZ,2,20.0201041535226,26.7,6.58831321220432,5.8865600035857,0.28702838564203,4.5,3837.0,4405405802.0,0.409,-26.483333,67.451,9.0,0.063244506811106,0.0012256887819308,1160164
52,ETH,0,20.1736852141998,18.3,12.476544921989,1.32120569802758,0.0547103685868942,4.3,857.0,96107662398.0,0.385,9.0,114.964,4.4,0.0042915068156844,6.58643354913e-05,114963583
