country_name,iso_3166_1_alpha_3,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population_male,population_female,population_rural,population_urban,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,fiscal_measures,international_support,emergency_investment_in_healthcare,investment_in_vaccines
French Polynesia,PYF,86.39520202020202,0.8106060606060606,18613.88888888889,198.1578282828283,142261.0,138643.0,106417.0,172870.0,39634.0,44134.0,40380.0,43367.0,39588.0,35649.0,23042.0,10823.0,4287.0,,,3412620.0,,,,
French Southern Territories,ATF,,,,,,,,,,,,,,,,,,,,2186658.0,,,,
Gabon,GAB,60.0290404040404,0.38257575757575757,17171.70707070707,112.15151515151516,1132854.0,1092874.0,222885.0,1949694.0,600006.0,422770.0,367413.0,350066.0,232164.0,134152.0,71303.0,36693.0,11161.0,16657960228.0,7667.0,192793.0,698653.1986531987,0.0,3367.003367003367,0.0
Gambia,GMB,15.085858585858587,0.46085858585858586,4885.563131313132,154.82954545454547,1198540.0,1218124.0,893748.0,1453958.0,762310.0,556857.0,429179.0,283131.0,174067.0,115911.0,59281.0,30008.0,5920.0,1763819047.0,751.0,192774.0,52004.28620102214,0.0,16740.20442930153,0.0
Georgia,GEO,2046.2613636363637,20.588383838383837,325331.327020202,4284.998737373738,1901227.0,2087947.0,1523906.0,2196476.0,553163.0,471057.0,500698.0,565076.0,517946.0,523623.0,459858.0,248786.0,148968.0,17743195770.0,4769.0,,3769441.720670391,0.0,701464.9014869889,0.0
Germany,DEU,165.4213900478274,1.4825195888877583,23880.518282283505,494.5655032054544,291020.0961538461,298705.64182692306,18807964.0,64324835.0,53841.57932692308,54831.526442307695,69482.02644230769,75282.19951923077,74057.90625,95867.70913461539,73346.95432692308,54644.002403846156,38371.83413461538,464277263717.64703,45742.35294117647,321855.9579439252,183448897.74915254,6378547.27118644,112122022.56101695,2356355.901265823
Ghana,GHA,202.05555555555554,1.8207070707070707,70383.78409090909,573.895202020202,15749999.0,15322946.0,13168802.0,17249054.0,8057871.0,6616721.0,5398591.0,4190418.0,3031250.0,2134979.0,1091067.0,456790.0,95258.0,66983634223.0,2202.0,192781.0,354729.7297297297,0.0,168918.9189189189,253485.42458808617
Gibraltar,GIB,19.66287878787879,0.1275252525252525,3448.1073232323233,49.55808080808081,17279.0,17225.0,0.0,33701.0,4658.0,4385.0,5133.0,5068.0,4573.0,3222.0,3350.0,2640.0,1475.0,,,1278736.0,,,,
Greece,GRC,3118.9545454545455,32.87373737373738,387661.03914141416,7677.465909090909,5208293.0,5516306.0,2208848.0,8507474.0,994709.0,1088503.0,1121294.0,1375885.0,1608239.0,1500790.0,1278758.0,995987.0,760434.0,217962048000.0,20296.0,192307.0,62081326.332197614,0.0,4567.298126064736,4135.848214285715
Greenland,GRL,14.906565656565656,0.022727272727272728,916.2563131313132,0.5643939393939394,25310.0,24138.0,7280.0,48945.0,6847.0,6865.0,7738.0,6648.0,4838.0,8106.0,5267.0,2337.0,803.0,3051626389.0,54470.0,2184073.0,49668.4275862069,0.0,514.7741379310345,24.067088607594936
Grenada,GRD,17.285353535353536,0.2727272727272727,1740.3358585858587,41.07070707070707,56666.0,55853.0,71238.0,40765.0,18131.0,16137.0,18289.0,18210.0,12871.0,12145.0,9576.0,4788.0,2372.0,1228170370.0,10965.0,550727.0,,,,
Guam,GUM,47.0959595959596,0.41792929292929293,7415.917929292929,112.94949494949495,85140.0,83643.0,8601.0,158693.0,26980.0,27161.0,27031.0,21835.0,19936.0,20164.0,14331.0,7781.0,3564.0,5920000000.0,35712.0,1152532.0,1072036.237924866,0.0,0.0,0.0
Guatemala,GTM,989.929292929293,21.487373737373737,241345.62247474748,6697.958333333333,779148.8695652174,790738.304347826,8063081.0,8540945.0,357325.652173913,340012.73913043475,298138.0,221142.34782608695,148655.4347826087,92058.82608695653,62532.34782608696,33217.17391304348,16804.304347826088,76710385879.0,4619.0,678081.7391304348,6679509.079124579,0.0,360461.9595959596,0.0
Guernsey,GGY,18.224747474747474,0.039141414141414144,1695.4823232323233,16.257575757575758,28003.0,28368.0,,,5407.0,5513.0,6844.0,7366.0,7524.0,8677.0,6759.0,5038.0,3243.0,,,3064410.0,,,,
Guinea,GIN,45.95580808080808,0.5555555555555556,16635.021464646463,154.15530303030303,6353234.0,6779558.0,8109741.0,4661505.0,3965624.0,3199454.0,2365739.0,1470866.0,898439.0,614524.0,408149.0,171250.0,38747.0,13590281808.0,1064.0,192778.0,652849.7409326425,0.0,82736.0553633218,0.0
Guinea-Bissau,GNB,10.13510101010101,0.21085858585858586,3287.4911616161617,62.976010101010104,962695.0,1005303.0,1080000.0,840922.0,582349.0,450029.0,342384.0,254506.0,156575.0,92188.0,60416.0,24637.0,4914.0,1340389410.0,697.0,192776.0,,,,
Guyana,GUY,79.50883838383838,1.542929292929293,14795.0101010101,349.9671717171717,395549.0,391010.0,573854.0,208912.0,147628.0,145351.0,145306.0,93109.0,90525.0,79337.0,51356.0,22940.0,11007.0,4280443645.0,5468.0,287083.0,129582.64432029796,0.0,40536.6312849162,4951.540689655172
