iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
GIB,18.969172778680203,,5.094416409830469,4.792069466715169,15.256299902050992,,,,,36.13775,3369.1,,0.5956783710783295,0.0032056038704698585,33691.0,[],[],[],[],[],[],[]
GIN,27.60313466595289,22.4,1.2784087361919545,2.241956204641825,,2.4,1064.0,13590281808.0,0.374,10.0,53.446,,0.0028670217269869194,3.418922647979196e-05,13132792.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0
GMB,28.762154897148676,20.4,4.951268245870312,4.92756260609449,,1.9,751.0,1763819047.0,0.397,13.5,238.801,15.5,0.005137247047996743,0.00015393120433788066,2416664.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
GNB,28.152829087576375,20.0,4.323871043170466,6.2159933597493495,0.19817093310054176,2.4,697.0,1340389410.0,,12.0,69.986,,0.0044695167373137576,8.892285459639694e-05,1967998.0,[],[],[],[],[],[],[]
GNQ,26.87237275634518,22.0,1.9238546673744406,2.38500524401792,1.1287621490153947,6.0,8131.0,11026774945.0,,1.5,50.017,,0.012041468725610039,0.0001304361771508605,1402985.0,[],[],[],[],[],[],[]
GRC,17.799187490853658,12.4,1.213132486804886,1.2196430997855334,7.584653765073603,4.7,20296.0,217962048000.0,0.681,38.5,82.5,43.4,0.4511880584066593,0.0030671543057227595,10724599.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0
GRD,27.347861866396762,21.4,3.7893478112463352,3.95165584155888,5.664821052444475,10.7,10965.0,1228170370.0,,12.116667,330.938,,0.1730641047289791,0.002097423546245523,112519.0,3.0,0.0,3.0,2.0,5.0,3.0,0.0
GRL,-29.12256410153846,,5.173200052593299,5.3199365444233075,,2.1,54470.0,3051626389.0,,72.0,0.138,,0.21086098781089269,0.0003699006552525893,56772.0,4.0,0.0,3.0,2.0,0.0,2.0,1.0
GTM,22.913536382892058,14.9,1.0588168774753974,1.2831310922301022,0.30682775729304257,10.0,4619.0,76710385879.0,0.46,15.5,167.185,,0.06209962542631221,0.0010987092956644912,17915567.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0
GUF,26.147190288032455,,,,,,,,,3.99886,3.634,,0.3141702546521049,0.00136934934144006,298682.0,[],[],[],[],[],[],[]
