,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
108,MEX,5,19.460286340447155,15.7,1.8234988735248472,2.1125425757430567,0.1560349116238014,13.5,9863.0,1258286717124.0,0.607,23.0,66.325,14.0,0.0268358553885433,0.0002160967471218,110991953.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0
109,MDA,0,11.658083132994925,24.9,1.01017574603723,0.9422085693503518,1.2848081207122208,5.7,4498.0,11955435456.0,0.58,47.25,122.799,24.2,0.1445682570712721,0.0029271463322792,4033963.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0
110,MCO,5,15.267924224593497,,20.500502984671154,22.629878618941472,,2.9,185829.0,7188238072.0,,43.731111,26338.255,,0.3687442666394863,0.0016053409438385,39244.0,2.0,0.0,3.0,2.0,5.0,3.0,1.0
111,MNG,1,2.892723936927772,30.2,2.346617210599736,2.170498127002728,5.527100345205519,4.7,4295.0,13852850259.0,0.626,47.0,2.11,25.6,0.2994297030282842,0.0006497285781742,3278292.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0
112,MNE,5,15.563459961382112,20.6,0.970957897430781,0.972261418232942,,9.0,8832.0,5494736901.0,0.615,42.766667,45.7,45.9,0.4465011845408578,0.0044649314830708,622182.0,[],[],[],[],[],[],[]
113,MAR,4,20.45563893495935,12.4,2.742448777262387,2.643671204058872,0.4070749981485756,7.0,3204.0,118725279596.0,0.5,32.0,82.703,23.4,0.034264207005486,0.0004409578419269,36910558.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0
114,MOZ,2,24.038020354338844,18.4,8.897653911336088,8.78626160766691,0.0541297112086552,3.3,491.0,14934159925.0,0.361,-19.0,39.746,16.6,0.0073646071475249,7.109163574271162e-05,31255435.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0
115,NAM,2,19.84392542126789,21.3,1.4146844703226733,1.4705865690464224,0.5900394613456729,4.5,4957.0,12366527719.0,0.435,-23.0,3.086,21.4,0.0655846159416525,0.0016045394652951,2540916.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0
116,NPL,2,22.67295942538071,21.8,3.027254947924939,3.344712734052843,0.3052125968408527,7.2,1071.0,30641380604.0,0.49,28.0,203.256,22.8,0.0342906813951617,0.0004123650058029,29136808.0,2.0,1.0,3.0,2.0,0.0,4.0,2.0
117,NLD,0,11.320110184771572,11.2,8.320553895637877,8.572334861793228,2.367554416269152,5.4,52982.0,913366020000.0,0.8,52.316667,504.0,25.8,0.4861238723416739,0.0013088639425516,17282163.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0
118,NZL,1,13.856612893292684,10.1,1.5057831627687792,1.552484969281053,1.728001494681519,6.2,42084.0,206928765543.0,0.767,-41.2,18.314,16.0,0.3619030851474825,0.0006127866488409,4822233.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0
119,NIC,5,27.39884061280488,14.2,13.489329292595494,13.634720208863488,,11.4,1912.0,12520915291.0,0.531,13.0,55.049,,0.0022627938424232,3.683266828227228e-05,6624554.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
120,NER,0,31.40560673285568,20.0,3.8378086694904656,4.544304443187056,0.0176914297385229,2.4,554.0,12928145120.0,0.316,17.0,19.11,7.7,0.0003878275362177,1.288902762035997e-05,24206636.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0
121,NGA,5,27.05290505010225,22.5,1.9609648946589453,1.7567128328982229,0.0210230014650518,3.1,2229.0,448120428858.0,0.342,9.0,226.336,5.8,0.0012836787142685,1.5300312016245573e-05,206139587.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0
122,MKD,0,,20.3,2.9025812728533595,2.538685642118645,0.8991223448449706,9.3,6093.0,12694823394.0,0.534,,83.4,,0.164596665016956,0.0045813169312301,2077132.0,[],[],[],[],[],[],[]
123,NOR,1,6.062393036548223,9.2,1.2426932962377122,1.276177914631257,2.581369944212728,5.3,75419.0,403336363636.0,0.771,65.0,17.2,20.2,0.2742385250436732,0.0007578527280821,5328212.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
124,OMN,3,27.211439261780104,17.8,7.359333299651577,6.467193998599299,,10.1,15474.0,76983094928.0,0.622,21.0,16.5,11.1,0.0779366477487466,0.0009062742454796,5106622.0,4.0,0.0,3.0,2.0,0.0,4.0,2.0
125,PAK,3,24.7780598800813,24.7,2.0655136704163324,2.108611383217465,0.3045882872220518,19.9,1284.0,278221906022.0,0.389,30.0,286.546,20.1,0.0071699365606314,0.0001371618465106,220892331.0,3.0,1.0,3.0,2.0,0.0,4.0,2.0
126,PAN,0,27.502115967479675,13.0,6.936151773232238,6.699880445962823,1.7602607916541215,7.7,15731.0,66800800000.0,0.532,8.616667,58.041,6.1,0.2281082088306949,0.0019669655471626,4314768.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0
127,PNG,1,28.36939989946524,30.0,0.8939984836782734,0.809749894201355,,17.9,2845.0,24969611434.0,0.384,-6.3,19.757,36.3,0.0050218916294764,7.421459664757914e-05,8947027.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0
128,PRY,3,23.97953986395939,17.5,2.098190755683929,2.3097323862907104,0.4921247572172278,9.6,5414.0,38145288939.0,0.533,-23.5,17.953,13.4,0.1003579375060462,0.0027381588300364,7132530.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0
129,PER,3,25.122618641547863,12.6,1.7146678455078477,1.7508895781754028,,6.6,6977.0,226848050819.0,0.586,-9.4,25.759,4.8,0.140481529366871,0.0073573566623569,29381884.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
130,PHL,1,27.842772700611,26.8,3.1939321708770803,3.174431699285325,0.3643881627744321,7.1,3485.0,376795508679.0,0.5480000000000002,12.0,367.512,24.3,0.0387355317752589,0.0006181068609673,100979303.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
131,POL,0,9.987311979695432,18.7,0.8352458180804735,0.9628393043646786,1.266741110580076,6.1,15222.0,585705873800.0,0.747,52.0,123.6,28.0,0.164146837479405,0.0030894735949499,37972812.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0
132,PRT,0,17.105037375634517,11.1,9.970598591784215,10.901223734369518,5.069667777174175,9.8,23364.0,240597516000.0,0.776,38.7,113.0,22.7,0.5304722361454164,0.0024272579196052,10276617.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0
133,QAT,3,28.310608621951214,15.3,2.08702666956043,2.246285859145383,7.144131394574279,15.6,64781.0,183466208791.0,0.615,25.269535,248.153,20.6,0.1522005789535795,0.0002367184300222,2881060.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0
134,ROU,0,8.815355646700509,21.4,0.8194715545719263,0.7935286391673405,,6.9,12390.0,241475766400.0,0.601,46.0,83.1,29.7,0.1672537033998064,0.0034449583913184,19414458.0,2.0,0.0,3.0,2.0,5.0,4.0,1.0
135,RUS,5,-4.106462652085453,25.4,1.245308520729265,1.3738205748193426,2.274641250279005,6.1,11584.0,1699876578871.0,0.729,66.416667,8.911,39.3,0.1388637337610321,0.0026431522753433,145934460.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0
136,RWA,2,22.30894885380711,18.2,14.925336216708214,10.558181619830254,0.5210692882548548,5.1,801.0,10122472590.0,0.374,-1.940278,525.019,12.3,0.0102279078418206,0.0001131853261478,12952209.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0
137,KNA,1,27.141183998987856,,7.638708486580347,8.58542028266799,4.738464188163149,13.3,19896.0,1050992592.0,,17.271667,204.585,,0.1228756203940442,0.0008647916979996,53192.0,[],[],[],[],[],[],[]
138,LCA,5,27.32826524898785,18.8,1.097321229217607,1.555232094525997,1.215183098219002,11.6,11611.0,2122450629.0,,13.883333,301.031,,0.1577038485206585,0.0021401848291936,183629.0,[],[],[],[],[],[],[]
139,VCT,1,27.495797476720647,23.2,1.9076988593340485,2.033331230227045,0.6416351951832857,11.6,7463.0,825385185.0,,12.9,284.479,,0.0851397514128367,0.0010455442688851,110947.0,[],[],[],[],[],[],[]
140,SMR,0,15.58743663211382,,6.752461799271888,6.463256526607342,,5.9,48481.0,1637931034.0,,43.933333,565.633,,0.6055748718250928,0.0034769285167069,33938.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0
141,STP,5,27.214762060020345,18.5,11.21216043311961,12.893717404100183,2.14180442688252,2.4,1994.0,429016605.0,,0.316667,228.293,,0.0281847591496662,0.0003467770269345,219161.0,[],[],[],[],[],[],[]
142,SAU,3,28.00274295731707,16.4,2.838655430438333,1.307462623313827,1.4737376495497587,15.8,23139.0,792966838161.0,0.585,23.716667,16.195,15.6,0.0234052999627993,0.0002677668642785,34813867.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0
143,SEN,4,30.227242877800407,18.1,1.356118638548749,0.7789350306838707,0.0828977429455201,2.4,1446.0,23578084052.0,0.418,14.366667,86.968,8.2,0.0052693722441505,0.0001175351306413,16743930.0,3.0,0.0,3.0,2.0,0.0,3.0,1.0
144,SRB,0,11.28240738922764,19.1,2.1378163946863027,2.036617149352085,1.6744100531988364,9.0,7402.0,51409167350.0,0.755,43.95,91.0,38.9,0.3338308133360062,0.0024190940416705,6963764.0,1.0,1.0,3.0,2.0,5.0,3.0,2.0
145,SYC,3,,21.2,10.19378472771463,9.045679106501256,,12.3,17401.0,1698843062.0,0.678,-7.1,213.783,21.5,0.4714053284523083,0.0017185275574537,98340.0,3.0,0.0,[2. 3.],2.0,5.0,3.0,2.0
146,SLE,3,27.620660826552463,30.5,6.860364536225153,8.275475121125453,0.0108041538253807,2.4,504.0,3941474310.0,0.3509999999999999,8.5,110.515,24.8,0.0009714196529139,1.567008086388529e-05,7976985.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0
147,SGP,3,27.513703648373987,9.3,1.3909800791347946,1.3829250953950496,16.203401158778988,5.5,65233.0,372062527488.0,0.884,1.3,8357.633,16.5,0.3191553042274615,0.0002741719588065,5850343.0,3.0,1.0,3.0,2.0,5.0,4.0,1.0
148,SVK,0,4.950156525888325,17.2,0.8244568051354842,0.9039953432628176,11.204803501440558,6.5,19470.0,105870732800.0,0.694,49.0,111.8,30.1,0.3372937613443071,0.0037476004147202,5450421.0,2.0,0.0,3.0,2.0,5.0,3.0,2.0
149,SVN,0,11.259329613197968,12.7,1.1366016824552485,1.2147713681988963,10.121832331624608,5.9,26078.0,53990687600.0,0.788,46.0,102.9,22.5,0.5523377294911644,0.0039362624392813,2080908.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
150,SOM,5,,21.8,2.495528758184661,3.205519774048151,,5.1,,,,6.0,25.334,,0.0017112329478376,8.563400529496259e-05,15893219.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0
151,ZAF,2,17.463010450203253,26.2,0.7521650919499505,0.8641208154018979,0.5248945903125362,12.7,6001.0,351431649241.0,0.406,-29.0,48.891,20.3,0.0676964202041893,0.0017219904873973,59308690.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0
152,SSD,5,,19.8,3.043339780221317,2.6642322275612624,0.0619065108582093,10.2,1119.0,11997800760.0,0.302,7.0,18.322,,0.001588389356219,1.2328331336232991e-05,11193729.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
153,ESP,5,15.152451324543607,9.9,2.783754748712315,2.743920129424382,,6.9,30326.0,1418587740000.0,0.743,40.2,93.1,29.3,0.2849372329668709,0.0024134234227708,46937060.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0
154,LKA,1,25.698068049847407,17.4,2.170270113501524,2.103299174699384,0.4275860017690426,10.7,3853.0,84008783756.0,0.584,7.0,341.465,13.0,0.0313132756587626,0.0007816188574831,21413250.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0
155,SDN,0,30.142630966839377,26.0,3.420074498087224,4.333851690239775,,22.1,441.0,18902284475.0,0.379,15.0,24.843,,0.0014430115129171,0.000113137575908,43849269.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0
156,SUR,1,27.395884661241094,21.7,1.9211296992673457,1.9510118992931105,0.6522883867190538,12.5,6854.0,3985250737.0,,4.0,3.76,25.0,0.1382088320826955,0.0023592222748766,586634.0,4.0,2.0,1.0,2.0,0.0,4.0,2.0
