country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
Canada,CAN,-0.8051199,9.8,6320838.5,8112497.0,4020837.8,7.6,,46194.0,298185060000.0,0.799,,55.360073,4.15,14.3,,
Cape Verde,CPV,24.662844,17.2,121371.98,191404.84,,2.4,,3603.0,1981845800.0,,1,15.916667,137.962,9.1,1,3
Caribbean Netherlands,BES,26.730827,,9200.5,12417.5,,,,,,,,12.183333,79.942,,,
Cayman Islands,CYM,27.403442,,38290.645,42781.516,,6.8,,85477.0,5485419500.0,,,19.5,273.833,,,
Central African Republic,CAF,,23.1,371919.06,328913.7,81873.664,6.0,,467.0,2220307500.0,,2,6.7,7.753,,2,1
Chad,TCD,30.26781,23.9,47845.97,116404.805,197002.0,6.0,,709.0,11314951000.0,0.293,2,15.466667,13.045,,0,1
Chile,CHL,13.958944,12.4,10622313.0,11514555.0,673270.25,8.6,398.98846,14896.0,282318140000.0,0.674,,-35.614635,25.71,37.8,,
China,CHN,12.379407,17.0,1117835600.0,1172021200.0,125000000.0,9.2,425.8,10261.0,3563210100000.0,0.673,3,33.626453,153.312,25.6,1,3
Christmas Island,CXR,25.152813,,,,,,234.0,,,,,-10.49,,,,
Cocos Islands,CCK,27.304605,,,,,,,,,,,-12.1175,,,,
Colombia,COL,22.96442,15.8,15032009.0,19429104.0,15318229.0,7.4,1140.0217,6432.0,323802800000.0,0.593,,5.6116586,45.861,9.0,,
Comoros,COM,27.231575,22.9,145522.92,190825.0,,12.3,,1393.0,1185728600.0,0.409,,-12.23333,467.273,14.0,,
Cook Islands,COK,25.546255,,10032.267,11225.117,,,,,,,,-21.233334,73.183,,,
Costa Rica,CRI,26.440916,11.5,1494650.6,1996287.5,912572.25,9.1,477.57144,12238.0,61773943000.0,0.619,,10.101666,99.767,11.9,,
Croatia,HRV,11.434593,16.7,1247141.6,1566159.2,1324861.4,5.4,,14868.0,60917596000.0,0.723,3,45.25,73.2,37.0,0,3
Cuba,CUB,25.971886,16.4,5996516.0,7319730.0,1525564.8,9.6,164.0,8821.0,100023000000.0,,,21.75553,106.413,35.2,,
Curaçao,CUW,26.925291,,76880.62,91241.08,,11.6,39.0,19573.0,3127908000.0,,,12.166667,369.595,,,
Cyprus,CYP,20.50962,11.3,421161.53,488010.97,6660247.0,9.0,,28674.0,24942617000.0,0.751,3,35.0,94.4,36.4,1,3
Czech Republic,CZE,8.206067,15.0,484595.44,589375.9,13729757.0,7.0,406.64285,21413.066,89941600000.0,0.782,,49.815464,297.24,34.3,,
Democratic Republic of the Congo,COD,25.672155,19.4,83894.69,158620.5,,6.0,240.0,545.0,47319626000.0,0.369,,-3.153227,39.506,,,
Denmark,DNK,8.7721615,11.3,2601157.2,2914857.8,22016156.0,8.3,,61360.0,355582250000.0,0.774,3,56.0,138.0,19.1,1,3
Djibouti,DJI,28.819252,19.6,46033.066,63101.35,282640.56,5.1,,3408.0,3318716400.0,,1,11.8,42.623,13.1,0,2
Dominica,DMA,27.18328,,21935.393,22325.574,,11.6,,8300.0,596033340.0,,2,15.416667,95.988,,0,3
Dominican Republic,DOM,26.986872,19.0,4261687.0,5289405.0,845268.0,8.6,254.5625,8282.0,88941300000.0,0.492,,18.906971,224.501,13.7,,
East Timor,TLS,27.924095,19.9,282119.62,410083.38,188712.52,6.7,,1294.0,1673540400.0,0.434,4,-8.966667,88.665,42.6,0,1
Ecuador,ECU,19.806852,13.0,5980703.5,7542044.5,1025761.0,5.5,1450.8,6183.0,107435660000.0,0.602,,-1.4211458,71.038,7.1,,
Egypt,EGY,23.351662,27.7,9062804.0,14090698.0,,17.2,,3020.0,303175140000.0,0.486,1,27.0,102.802,25.2,0,2
